2019-10-10 17:28:04,080 [INFO ]	Phylogeny = OG0000069
2019-10-10 17:28:04,083 [INFO ]	Nodes = 49
2019-10-10 17:28:04,084 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:04,131 [INFO ]	Species overlap score = 0, num speciation events = 143
2019-10-10 17:28:04,143 [INFO ]	Run MCL, num clusters = 9
2019-10-10 17:28:04,153 [INFO ]	Phylogeny = OG0000070
2019-10-10 17:28:04,158 [INFO ]	Nodes = 49
2019-10-10 17:28:04,160 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:04,204 [INFO ]	Species overlap score = 0, num speciation events = 240
2019-10-10 17:28:04,220 [INFO ]	Run MCL, num clusters = 5
2019-10-10 17:28:04,231 [INFO ]	Phylogeny = OG0000071
2019-10-10 17:28:04,236 [INFO ]	Nodes = 49
2019-10-10 17:28:04,237 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:04,279 [INFO ]	Species overlap score = 0, num speciation events = 46
2019-10-10 17:28:04,290 [INFO ]	Run MCL, num clusters = 12
2019-10-10 17:28:04,300 [INFO ]	Phylogeny = OG0000072
2019-10-10 17:28:04,303 [INFO ]	Nodes = 48
2019-10-10 17:28:04,304 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:04,347 [INFO ]	Species overlap score = 0, num speciation events = 150
2019-10-10 17:28:04,360 [INFO ]	Run MCL, num clusters = 7
2019-10-10 17:28:04,370 [INFO ]	Phylogeny = OG0000073
2019-10-10 17:28:04,373 [INFO ]	Nodes = 48
2019-10-10 17:28:04,374 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:04,421 [INFO ]	Species overlap score = 0, num speciation events = 182
2019-10-10 17:28:04,435 [INFO ]	Run MCL, num clusters = 6
2019-10-10 17:28:04,445 [INFO ]	Phylogeny = OG0000074
2019-10-10 17:28:04,448 [INFO ]	Nodes = 48
2019-10-10 17:28:04,449 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:04,495 [INFO ]	Species overlap score = 0, num speciation events = 144
2019-10-10 17:28:04,509 [INFO ]	Run MCL, num clusters = 6
2019-10-10 17:28:04,518 [INFO ]	Phylogeny = OG0000075
2019-10-10 17:28:04,521 [INFO ]	Nodes = 48
2019-10-10 17:28:04,521 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:04,569 [INFO ]	Species overlap score = 0, num speciation events = 201
2019-10-10 17:28:04,584 [INFO ]	Run MCL, num clusters = 6
2019-10-10 17:28:04,594 [INFO ]	Phylogeny = OG0000076
2019-10-10 17:28:04,597 [INFO ]	Nodes = 48
2019-10-10 17:28:04,598 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:04,641 [INFO ]	Species overlap score = 0, num speciation events = 108
2019-10-10 17:28:04,655 [INFO ]	Run MCL, num clusters = 11
2019-10-10 17:28:04,667 [INFO ]	Phylogeny = OG0000077
2019-10-10 17:28:04,672 [INFO ]	Nodes = 48
2019-10-10 17:28:04,673 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:04,717 [INFO ]	Species overlap score = 0, num speciation events = 102
2019-10-10 17:28:04,730 [INFO ]	Run MCL, num clusters = 8
2019-10-10 17:28:04,740 [INFO ]	Phylogeny = OG0000078
2019-10-10 17:28:04,743 [INFO ]	Nodes = 46
2019-10-10 17:28:04,743 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:04,779 [INFO ]	Species overlap score = 0, num speciation events = 173
2019-10-10 17:28:04,793 [INFO ]	Run MCL, num clusters = 7
2019-10-10 17:28:04,802 [INFO ]	Phylogeny = OG0000079
2019-10-10 17:28:04,805 [INFO ]	Nodes = 46
2019-10-10 17:28:04,806 [INFO ]	Tree is rooted, pass
2019-10-10 17:28:04,841 [INFO ]	Species overlap score = 0, num speciation events = 141
